month;user_id;username;email;kota;total_visit;total_order;total_amount
2016-01;16;Kevin Ningsih;kevinningsih@roketmail.com;Jakarta Selatan;95;15;45724
2016-01;25;Sakti Hasaniy;saktihasaniy@outlook.com;Jakarta Pusat;97;1;26665
2016-01;39;Izhar Halim;izharhalim@gmail.com;Jakarta Timur;84;33;899001
2016-02;8;Dikposa Yosua Krisnanto;dikposayosuakrisnanto@hotmail.com;Jakarta Pusat;113;11;22012
2016-02;34;Ismail Wardhani;ismailwardhani@hotmail.com;Jakarta Selatan;25;2;55620
2016-02;51;Athirah Atsila;athirahatsila@yahoo.com;Depok;80;6;51986
2016-03;40;Garin Sugiyanto;garinsugiyanto@yahoo.com;Bekasi;35;27;157965
2016-03;56;Anna Usra;annausra@roketmail.com;Jakarta Timur;17;30;898399
2016-03;82;Tresna Rianita Prasojo;tresnarianitaprasojo@yahoo.com;Jakarta Selatan;37;12;46063
2016-05;9;Dhanu Rahman;dhanurahman@gmail.com;Jakarta Utara;112;3;29994
2016-05;74;Berty Yulianti;bertyyulianti@gmail.com;Depok;121;30;409533
2016-06;13;Hilman Azalia;hilmanazalia@hotmail.com;Jakarta Timur;61;23;404048
2016-06;66;Clara Amira;claraamira@hotmail.com;Depok;26;20;68246
2016-06;77;Amanda Idayu;amandaidayu@yahoo.com;Jakarta Pusat;98;5;20552
2016-07;4;Singgih Kharisma;singgihkharisma@hotmail.com;Jakarta Timur;112;11;83391
2016-07;18;Wahyu Hayati;wahyuhayati@gmail.com;Bekasi;71;32;794704
2016-07;35;Alfin Chairunisa;alfinchairunisa@gmail.com;Jakarta Selatan;29;31;632166
2016-07;42;Geraldi Lalo;geraldilalo@hotmail.com;Jakarta Selatan;76;37;839166
2016-07;59;Rayhana Hidayatul;rayhanahidayatul@hotmail.com;Jakarta Timur;119;25;868457
2016-07;65;Puspa Fariza;puspafariza@yahoo.com;Bekasi;34;12;10604
2016-07;73;Natasha Fadholi;natashafadholi@gmail.com;Jakarta Selatan;100;30;797345
2016-08;21;Haikal Nurahmadhita;haikalnurahmadhita@roketmail.com;Jakarta Utara;60;9;48091
2016-08;79;Saliha Husein;salihahusein@outlook.com;Depok;111;19;10393
2016-09;77;Amanda Idayu;amandaidayu@yahoo.com;Jakarta Pusat;98;27;411484
2016-09;4;Singgih Kharisma;singgihkharisma@hotmail.com;Jakarta Timur;112;3;48439
2016-10;22;Thomas Geryance;thomasgeryance@roketmail.com;Depok;111;27;798969
2016-10;49;Sigit Amalia;sigitamalia@roketmail.com;Jakarta Utara;122;3;19416
2016-11;68;Reny Oktavianty;renyoktavianty@gmail.com;Jakarta Pusat;24;22;146254
